AL627309.1
AL627309.5
AP006222.2
LINC01409
FAM87B
LINC01128
LINC00115
FAM41C
AL645608.2
LINC02593
SAMD11
NOC2L
KLHL17
PLEKHN1
PERM1
AL645608.7
HES4
ISG15
AGRN
C1orf159
LINC01342
AL390719.2
TTLL10-AS1
TTLL10
TNFRSF18
TNFRSF4
SDF4
B3GALT6
C1QTNF12
AL162741.1
UBE2J2
LINC01786
SCNN1D
ACAP3
PUSL1
INTS11
AL139287.1
CPTP
TAS1R3
DVL1
MXRA8
AURKAIP1
CCNL2
MRPL20-AS1
MRPL20
AL391244.2
ANKRD65
AL391244.1
LINC01770
VWA1
ATAD3C
ATAD3B
ATAD3A
TMEM240
SSU72
AL645728.1
FNDC10
AL691432.4
AL691432.2
MIB2
MMP23B
CDK11B
FO704657.1
SLC35E2B
CDK11A
SLC35E2A
NADK
GNB1
AL109917.1
CALML6
TMEM52
CFAP74
AL391845.2
GABRD
AL391845.1
PRKCZ
AL590822.2
PRKCZ-AS1
FAAP20
AL590822.1
SKI
AL590822.3
MORN1
AL589739.1
AL513477.2
RER1
PEX10
PLCH2
AL139246.1
PANK4
HES5
AL139246.5
TNFRSF14-AS1
TNFRSF14
AL139246.3
PRXL2B
MMEL1
TTC34
ACTRT2
PRDM16-DT
PRDM16
AL354743.2
ARHGEF16
MEGF6
AL513320.1
TPRG1L
WRAP73
TP73
AL136528.1
CCDC27
SMIM1
LRRC47
AL365330.1
CEP104
DFFB
C1orf174
LINC01134
LINC01346
AL805961.1
AJAP1
AL365255.1
NPHP4
KCNAB2
CHD5
RPL22
AL031847.1
RNF207
ICMT
LINC00337
GPR153
ACOT7
AL031848.2
HES2
ESPN
TNFRSF25
PLEKHG5
NOL9
TAS1R1
ZBTB48
KLHL21
PHF13
THAP3
DNAJC11
AL591163.1
CAMTA1-DT
CAMTA1
CAMTA1-IT1
AL359881.3
AL359881.2
AL359881.1
VAMP3
Z98884.2
PER3
Z98884.1
UTS2
TNFRSF9
PARK7
