8346,6982
4270,1363
2635,8074
7784,2672
1942,6159
2218,6638
4291,9747
8005,8301
9239,6381
3249,6036
4216,7232
7042,8782
2628,5439
5717,1718
1602,7957
6758,5189
7593,8781
2893,1126
5390,9026
9436,2668
8884,1950
6147,8904
9095,3746
5935,6389
2154,8674
2630,6397
7643,995
4617,2200
2350,4481
2843,8912
5045,8428
5112,7589
5584,3875
3106,3881
8609,2190
3183,7115
4892,2200
2353,5440
7793,6265
7930,6025
7371,2673
9235,4704
6073,6628
8617,5305
6763,7345
7317,8781
1670,7837
5177,6271
8278,7342
5462,10104
8957,3507
2966,2923
6063,2556
2494,6877
4830,4955
5027,1241
7234,2673
7788,4109
9236,5183
3459,7593
2619,1606
7507,1714
3595,6634
4209,4357
3874,8311
3039,4480
7726,7104
5787,2078
2768,6397
3652,1723
3461,8072
5926,2796
3452,4479
9102,6861
7045,9980
8132,4228
9093,3028
2912,9032
4908,8668
2972,5318
7644,1714
2086,8794
3379,2682
3999,2801
2289,7716
4289,9028
5393,9984
7930,5786
6130,1957
6135,3873
7656,6505
5719,2437
6817,997
6972,8423
9443,5303
6006,7467
7647,2911
1877,7956
6350,7346
4962,2798
6548,3872
2826,1965
4977,9027
5791,3754
7796,7463
7657,6984
4008,6633
4215,6753
4132,1123
4070,3878
5256,10224
7026,2075
6414,5310
9102,6621
4615,1482
5525,7588
4349,5555
7660,8182
7646,2432
3171,2323
7722,5187
4147,7352
8953,2070
5857,2916
5859,3395
7437,1355
4685,1841
2554,3163
3177,4479
2690,2684
4684,1601
3034,2563
9177,9136
1741,8436
5044,8188
3170,1605
7849,1114
6001,5311
3176,4240
6620,5190
3317,5677
6827,5309
8830,8059
4011,8071
7512,4110
6352,8065
6075,7347
3396,9869
8689,6862
2912,8792
6354,9023
7989,2072
3735,7832
6005,6988
6345,5190
6902,7824
5234,1360
4622,4356
8824,5664
7306,4230
9445,6021
3932,3879
4485,4596
2773,8553
7650,4109
3117,8193
6893,3991
7655,6265
4063,1004
4550,3278
3453,4958
8275,6384
3042,5917
4632,8429
8481,6263
3182,6875
3877,9269
6832,7226
7177,7824
8474,3149
3663,6515
8626,8898
5510,1599
6148,9144
3385,5317
3940,7233
6198,1597
2624,3762
3876,9029
4491,7231
7244,6745
8953,1830
8956,3268
3604,10228
5250,7828
4203,1962
8827,6861
8270,4228
2834,5319
2894,1605
3601,9270
8071,7462
4549,2560
3102,1964
5187,10104
6839,10100
6759,5669
9169,6022
5442,1959
7043,9022
2426,7236
8889,4106
2009,5560
7652,4828
2357,7117
7781,1474
3389,6755
6692,6268
4552,3757
2759,2804
7718,3750
8269,3988
5378,3995
7992,3270
2420,4601
3724,3280
1948,8795
3184,7594
3531,8910
6907,9980
4763,5793
5870,7947
1671,8077
5661,7109
7458,9979
7580,3750
1947,8555
5321,8906
6560,8903
5661,6869
7036,6387
8350,8659
1948,9034
7578,2552
5925,2317
2429,8674
6679,997
4085,10107
8005,8540
6969,6986
7105,6267
8402,1832
6275,4831
3381,3641
3108,4599
6487,6867
3865,4478
7316,8302
6554,6268
2777,10230
2698,6038
3523,5317
5578,1240
3460,7833
9022,1950
8002,7103
6962,4351
5171,3876
7518,6266
5719,2677
2428,8194
5943,9743
9373,4704
4758,3877
4000,3280
2499,8793
4277,3998
8962,5903
6206,4712
6199,1837
6205,4233
8899,7939
2485,3044
4629,7231
9243,8058
2977,7235
5235,1839
5305,2199
8142,8061
6819,2195
7314,7344
4009,7113
2287,6518
1946,8076
5652,3515
7940,10098
2145,4841
5249,7589
8343,6024
5590,6031
3190,10229
3868,5915
6898,6387
6475,2076
6405,1477
8480,5784
5523,7109
3189,9750
9231,3027
5922,1359
8887,3388
8006,8780
4698,7350
4687,3038
6695,7705
6887,1835
5035,4595
6769,9981
8687,5903
6555,6747
6267,1478
5096,1361
8402,2071
7794,6744
5175,5553
2148,6279
4213,6034
7238,4589
3038,4001
3867,5436
