"sigid","ligand","perturbed_receptors","n_upregulated","n_downregulated","total_strength","n_significant_genes","n_signatures"
"sig_ANGPTL3_2_y","ANGPTL3","ABCA1,ACKR3,ACVR1,ACVR1B,ACVR2B,ACVRL1,ADAM22,ADGRG1,ADGRL1,ADIPOR1,ADIPOR2,ADORA1,ADORA2B,ADRB2,AGR2,ALCAM,AMFR,AMHR2,APLP2,APP,AR,ASGR1,ATRN,AXL,BAMBI,BCAM,BEX3,BMPR1A,BMPR1B,CADM1,CALCRL,CANX,CAV1,CCR3,CCRL2,CD151,CD180,CD200,CD22,CD274,CD320,CD36,CD38,CD40,CD44,CD47,CD48,CD55,CD63,CD74,CD81,CD82,CD9,CDON,CEACAM1,CKAP4,CLEC2B,CNR1,CNTNAP1,CNTNAP2,COL13A1,CRLF3,CSF1R,CSPG4,CXADR,CXCR4,DAG1,DCBLD2,DCHS1,DDR2,DIP2A,DSC3,DSG2,DSG4,DYSF,EDA2R,EDNRA,EFNB1,EGFR,ENO1,EPCAM,EPHA4,EPHB2,EPHB4,EPHB6,ERAP1,ERBB3,F2R,F2RL1,F2RL2,F3,FAS,FGFR1,FGFR3,FGFR4,FGFRL1,FLT4,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GFRA1,GFRA2,GIPR,GLP2R,GPC1,GPR135,GPR39,GRIN2D,GRM1,HAVCR1,HHIP,HLA-F,HMMR,HRH1,HTR1B,ICAM1,ICOSLG,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IFNLR1,IGF1R,IGF2R,IGFLR1,IL13RA1,IL15RA,IL17RA,IL17RB,IL17RC,IL17RE,IL18R1,IL1R1,IL1R2,IL1RAP,IL1RAPL1,IL1RL1,IL21R,IL22RA1,IL27RA,IL31RA,IL4R,IL6R,IL6ST,IL7R,INSR,ITGA1,ITGA11,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGAE,ITGAV,ITGB1,ITGB2,ITGB3,ITGB4,ITGB5,ITGB7,ITGB8,JAM2,JMJD6,KDR,KLRC2,KREMEN2,L1CAM,LAG3,LAMP1,LAMP2,LDLR,LEPR,LGR4,LGR5,LGR6,LINGO1,LMBR1L,LPAR1,LPAR2,LPAR3,LPAR4,LRP1,LRP4,LRP5,LRP6,LTBR,MADCAM1,MCAM,MET,MGRN1,MST1R,MYLK,MYLK2,NCSTN,NECTIN2,NECTIN3,NLGN1,NOTCH1,NOTCH2,NOTCH3,NPR1,NPR2,NPR3,NRCAM,NRP1,NRP2,NRXN3,NT5E,NTNG2,OGFR,OLR1,OSMR,OXTR,PDE1A,PDGFRA,PDGFRB,PHEX,PITPNM3,PLAUR,PLGRKT,PLSCR1,PLSCR4,PLXDC2,PLXNA1,PLXNA2,PLXNA3,PLXNA4,PLXNB1,PLXNB2,PLXNC1,PLXND1,PRLR,PROCR,PRTG,PTCH1,PTK7,PTPRB,PTPRD,PTPRF,PTPRG,PTPRJ,PTPRK,PTPRM,PTPRS,PVR,RAMP1,RGMB,RNF43,ROBO3,ROBO4,ROR2,RPSA,RTN4R,RTN4RL1,RTN4RL2,RYK,S1PR2,SCARB1,SCN8A,SDC1,SDC2,SDC3,SDC4,SELL,SLAMF7,SLC16A1,SLC16A7,SLC40A1,SMO,SORL1,SORT1,SSTR1,STX1A,TBXA2R,TFRC,TGFBR1,TGFBR2,TGFBR3,THBD,THY1,TLR2,TLR4,TLR6,TMEM67,TNFRSF10A,TNFRSF10B,TNFRSF10D,TNFRSF11A,TNFRSF11B,TNFRSF12A,TNFRSF14,TNFRSF18,TNFRSF19,TNFRSF1A,TNFRSF1B,TNFRSF21,TNFRSF25,TNFRSF8,TNFRSF9,TSPAN1,TYRO3,UNC5A,UNC5B,VASN,VLDLR,VSIR,ZNRF3",4758,5088,5311.96747058504,9846,2
"sig_ANOS1_1_y","ANOS1","ABCA1,ACVR2B,ALCAM,AVPR1A,BAMBI,BDKRB2,BOC,CFTR,CNR1,CNTNAP2,CRHR1,CXADR,DSC3,EDNRA,EFNB1,EPCAM,EPHA4,EPHB2,F2RL1,FAS,GAS1,GRM1,ICAM1,IL4R,IL6ST,INSR,ITGB5,ITGB8,JMJD6,KCNJ10,KDR,LDLR,LPAR2,MAG,MCAM,NPFFR2,NPR2,NPY1R,NPY5R,NRCAM,NRP2,NRXN1,NTRK3,PRTG,RAMP2,ROBO1,RTN4RL1,SDC3,SDC4,SSTR2,SSTR3,THY1,TIE1,TNFRSF11A,TNFRSF8,TRAF2,UNC5A,UNC5B",750,774,1005.73690603924,1524,1
"sig_ANXA1_1_y","ANXA1","",1,0,3.81985645253466,1,1
"sig_APOE_1_y","APOE","CD40,CEACAM1,CSPG4,ICAM1,IL7R,ITGAV,TLR2,TNFRSF10B,TNFRSF9",16,131,91.4133867602914,147,1
"sig_APP_1_y","APP","ABCA1,ACVR1C,ACVR2A,ADAM22,ADAM23,ADCY1,ADCYAP1R1,ADGRE5,ADGRG1,ADGRL1,ADIPOR2,ADORA1,ALCAM,AMFR,APP,AR,ATRN,AXL,BAMBI,BMPR1B,BOC,CADM1,CALCR,CALCRL,CCR2,CCR3,CD160,CD163,CD180,CD200,CD226,CD274,CD320,CD36,CD38,CD44,CD80,CD81,CD84,CD86,CD9,CDH7,CDON,CFTR,CHL1,CHRM3,CLEC1B,CNR1,CNTN1,CNTNAP2,CR1,CR2,CRTAM,CSPG4,CXCR4,DCC,DDR2,DIP2A,DPP4,DSC3,DSG1,DSG2,DSG3,DSG4,EDA2R,EDNRB,EGFR,EPHA3,EPHA5,EPHA6,EPHB3,ERAP1,ERBB2,F11R,F2RL2,F3,FAP,FGFR1,FGFR3,FLT1,FPR3,FZD2,FZD5,FZD6,FZD9,GALR1,GAS1,GFRA1,GHR,GLG1,GLP2R,GPC1,GPC4,GPC5,GRM1,GRM5,GUCY2C,HHIP,HTR1F,HTR2A,HTR4,ICAM1,ICOS,IGF2R,IL13RA1,IL18R1,IL18RAP,IL1R1,IL1RAP,IL1RL1,IL23R,IL4R,IL6R,IL7R,INSR,ITGA1,ITGA10,ITGA11,ITGA2,ITGA3,ITGA4,ITGA6,ITGA7,ITGA8,ITGA9,ITGB1,ITGB4,ITGB5,ITGB6,ITGB8,JAML,KCNJ10,KCNJ15,KDR,KIT,KLRD1,KREMEN1,LAMA4,LAMP2,LDLR,LEPR,LGR4,LHCGR,LIFR,LMBR1L,LPAR1,LRFN5,LRP1,LRP2,LRP4,LRP5,LRP8,LRRC4,LRRC4C,MAS1,MERTK,MET,MRC1,MUSK,MYLK,NCAM1,NCSTN,NECTIN2,NECTIN3,NEO1,NLGN1,NOTCH2,NOTCH3,NPFFR1,NPR1,NPR3,NPY1R,NRCAM,NRP1,NRXN1,NRXN3,NT5E,NTNG1,NTRK2,NTRK3,OPRM1,OSMR,P2RY14,PDE1A,PDE1C,PILRB,PLA2R1,PLAUR,PLD2,PLSCR1,PLSCR4,PLXDC2,PLXNA2,PLXNA3,PLXNB1,PLXNC1,PLXND1,PRLHR,PRLR,PTCH1,PTH2R,PTK7,PTPRB,PTPRC,PTPRD,PTPRF,PTPRJ,PTPRM,PTPRS,PTPRZ1,PVR,ROBO2,ROBO3,ROR1,RXFP1,RXFP2,SCARB1,SDC1,SDC3,SELL,SELP,SLAMF6,SLC16A7,SORCS3,SORL1,STRA6,TEK,TIE1,TIGIT,TLR2,TLR4,TLR6,TMEM67,TNFRSF10B,TNFRSF10C,TNFRSF11A,TNFRSF11B,TNFRSF1A,TSHR,TYRO3,UNC5C,VCAM1,VLDLR,ZNRF3",2693,2698,8479.84198475081,5391,2
"sig_APP_2_y","APP","ABCA1,ADGRG1,ADORA2B,ADRA2A,APP,AR,BAMBI,CD163,CDON,CFC1,CNR1,CNTN1,COL13A1,CRLF1,DCC,DDR1,DDR2,DYSF,EDA2R,EGFR,ENG,EPHA3,EPHB6,F2R,FGFR4,FLT4,FZD1,FZD8,GCGR,GFRA2,GFRA3,GIPR,GPC5,GPR35,HCRTR2,HTR2C,HTR7,IL13RA1,IL13RA2,IL17RA,ITGB1,KIT,LGR4,LRRC4C,MCAM,MYLK,NGFR,NPY1R,NRP1,OPRK1,PLXND1,PRLHR,PRLR,PROKR2,PTH1R,RGMB,S1PR2,SCN5A,SCTR,SDC2,SORCS3,SSTR1,SSTR2,THY1,UTS2R",522,521,1967.66824296804,1043,2
"sig_B2M_1_y","B2M","ADAM22,ADAM23,ADGRE5,ADGRG1,ALCAM,APLP2,APP,ATP6AP2,BEX3,BMPR2,C5AR2,CANX,CD200,CD44,CD46,CD55,CD63,CD9,CDON,CNR1,CSPG4,CXCR4,CXCR5,DCBLD2,DDR1,DSG2,EGFR,ENG,ENO1,EPHA2,EPHA5,EPHA7,EPHB2,EPOR,ERBB4,F3,FGFR1,FGFRL1,FLOT1,FZD4,FZD6,FZD8,GAS1,GLP2R,GPC5,GRIN2D,HRH1,HTR2C,ICAM1,ICAM3,IFNGR1,IGF1R,IGF2R,IL15RA,IL17RC,IL1R1,IL1RAP,IL20RB,IL2RB,IL2RG,IL4R,ITGA3,ITGA5,ITGA6,ITGA7,ITGB2,ITGB3,ITGB4,ITGB5,ITGB8,KREMEN1,LAMP2,LEPR,LGR4,LRP11,LRP5,LRP6,MC1R,MET,NECTIN2,NOTCH2,NOTCH3,NPR1,NPR3,NRCAM,NRP2,NT5E,NTNG1,OSMR,PDE1C,PILRB,PLA2R1,PLAUR,PLXDC2,PLXNA3,PLXND1,PROCR,PTK7,PTPRB,PTPRF,PTPRJ,PTPRK,PVR,ROBO1,ROBO2,ROR2,RPSA,SDC1,SDC4,SORL1,SSTR1,TFR2,TGFBR2,TLR2,TNFRSF12A,TNFRSF1A,TNFRSF21,TREM1,TSPAN1,UNC5B,UNC5D,VASN,VLDLR,VSIR",1233,2390,1360.46122879471,3623,3
"sig_B2M_3_y","B2M","ACVR1B,ADCY1,ADIPOR1,EFNB1,FGFRL1,FZD6,IL1RAP,KCNJ10,LDLR,NGFR,PLXNA4,PLXND1,SORL1,UNC5C",328,41,521.527485457485,369,3
"sig_BMP5_1_y","BMP5","ACKR4,ACVR1B,ADGRE5,ADGRG1,ALCAM,ATP1A3,CANX,CD47,CD74,CD81,CEACAM1,DCBLD2",190,154,143.965357995549,344,4
"sig_BMP5_2_y","BMP5","APCDD1,BCAM,EPHB4,FGFR3,TNFRSF21",23,52,75.2338287408151,75,4
"sig_BMP5_3_y","BMP5","ADRB2,APCDD1,BAMBI,BCAM,CD151,CNTNAP2,DSG4,DYSF,EFNB1,EPHB4,FGFR3,IFNGR1,IL6R,ITGA6,PDE1C,PLA2R1,PTPRZ1,RHBDL2,RNF43,SDC4,SLAMF7,TFRC,TNFRSF21,TYRO3,VIPR1",228,147,332.7731736869,375,4
"sig_BMP5_4_y","BMP5","",3,3,15.9202939150713,6,4
"sig_BTLA_1_y","BTLA","ABCA1,ACKR3,ADGRG1,AGR2,CXADR,EPHA5,EPHA6,EPHB2,EPHB3,GFRA1,HRH2,IL31RA,IL4R,LAMA4,LGR6,MST1R,NMUR2,NRCAM,NRP2,NTNG2,PLXNA2,PLXNA4,RNF43,RTN4RL2,TGFBR1,VSIR",197,261,727.715673911297,458,5
