"sigid","ligand","perturbed_receptors","n_upregulated","n_downregulated","total_strength","n_significant_genes","n_signatures"
"sig_LTF_1_y","LTF","ABCA1,ACKR3,ACVR1,ACVR1B,ACVR1C,ACVR2A,ACVR2B,ADAM22,ADGRE5,ADGRG1,ADGRL1,ADORA2B,ADRA2A,ADRB2,AGR2,AGTR1,AMFR,APCDD1,APLP2,APP,ASGR1,ATP5F1B,ATRN,AVPR1A,AXL,BAMBI,BCAM,BDKRB2,BEX3,BMPR1B,BMPR2,CADM1,CANX,CAV1,CCKAR,CCR1,CCR3,CD151,CD274,CD320,CD36,CD44,CD46,CD47,CD48,CD55,CD74,CD80,CD9,CD93,CD96,CEACAM1,CHL1,CLEC2D,CNTN1,CRLF1,CSF3R,CXADR,CXCR4,DAG1,DCBLD2,DDR1,DPP4,DYSF,EDAR,EDNRA,EFNB1,EGFR,ENO1,EPHA2,EPHA3,EPHA4,EPHA7,EPHB3,ERAP1,ERBB2,ERBB3,F11R,F2R,F2RL1,FGFR1,FGFR3,FGFR4,FLOT1,FZD2,FZD4,FZD5,FZD6,FZD7,FZD8,FZD9,GFRA1,GFRA3,GPC1,GPC4,GPR37,GPR39,HMMR,ICAM3,IFNAR1,IFNAR2,IFNGR2,IL10RB,IL12RB2,IL13RA1,IL17RA,IL17RB,IL17RC,IL1R1,IL1RAP,IL20RA,IL31RA,IL4R,IL6ST,IL7R,INSR,ITGA1,ITGA2,ITGA3,ITGA6,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB8,JMJD6,KCNJ15,KDR,KISS1R,KIT,KL,KLB,KREMEN1,LAMA4,LAMP1,LAMP2,LEPR,LGR4,LGR5,LIFR,LMBR1L,LPAR3,LRP1,LRP11,LRP2,LRP4,LRP5,LRP8,LSR,MC1R,MET,MGRN1,MMP24,MUSK,NCAM1,NECTIN2,NECTIN4,NEO1,NLGN1,NOTCH1,NOTCH2,NOTCH3,NPFFR2,NPR3,NRP1,NRXN3,NT5E,OLR1,OPRD1,OXTR,PDE1A,PITPNM3,PLA2R1,PLAUR,PLD2,PLSCR1,PLSCR4,PLXNA1,PLXNA2,PLXNA3,PLXNB1,PLXNB2,PLXNC1,PRLR,PROCR,PRTG,PTCH1,PTH1R,PTK7,PTPRD,PTPRF,PTPRJ,PTPRM,PTPRZ1,PVR,RET,RGMB,RNF43,ROR1,RPSA,RYK,SCARB1,SDC1,SDC2,SDC3,SDC4,SLAMF7,SLC16A7,SLC40A1,SMO,SORL1,ST14,STX1A,TACR3,TFRC,TGFBR1,TGFBR2,TGFBR3,THBD,TLR2,TLR5,TNFRSF10B,TNFRSF10D,TNFRSF12A,TNFRSF1A,TNFRSF21,TNFRSF25,TREM1,TSPAN1,TYRO3,UNC5B,UNC5C,VASN,VLDLR,VSIR,VTCN1,ZNRF3",3297,3382,3885.48797508505,6679,5
"sig_MUC1_1_y","MUC1","ABCA1,ADAM22,ADCY1,ADORA2B,ADRB2,AGTR1,ALCAM,APLP2,APP,ATP6AP2,AXL,BAMBI,BCAM,BDKRB1,BMPR1B,CANX,CD200,CD320,CD38,CD44,CD55,CD63,CD74,CD81,CD82,CD9,CDON,CHRM3,CNTNAP1,COL13A1,CSPG4,CXADR,DDR1,DDR2,DPP4,DSC3,DSG2,ENG,ENO1,EPHA3,EPHA4,EPHA5,EPHB4,ERAP1,F11R,FAP,FGFR2,FLOT1,FZD1,FZD6,FZD7,FZD9,GAS1,GPC1,GPR1,GPR37,GPR75,HHIP,HRH1,HTR1D,ICAM1,ICOSLG,IFNGR1,IL10RB,IL17RC,IL1R1,IL27RA,IL31RA,IL4R,IL6ST,IL7R,ITGA10,ITGA11,ITGA3,ITGA5,ITGA6,ITGAV,ITGB1,ITGB3,ITGB4,JAM2,KREMEN1,L1CAM,LAMA4,LEPR,LGR4,LIFR,LPAR1,LPAR3,LRP1,LRP11,LRP8,LTBR,MCAM,MET,MGRN1,MST1R,MYLK,NCSTN,NLGN1,NOTCH1,NOTCH2,NOTCH3,NPR2,NPR3,NTNG1,NTRK3,NTSR1,OSMR,PHEX,PLA2R1,PLAUR,PLD2,PLSCR4,PLXDC1,PLXDC2,PLXNA1,PLXNA2,PLXNA3,PLXNB2,PROCR,PRTG,PTK7,PTPRC,PTPRD,PTPRG,PTPRJ,PTPRS,PTPRZ1,PVR,ROBO1,ROBO4,ROR1,RTN4R,RTN4RL1,RTN4RL2,RYK,SCARB1,SDC1,SDC2,SDC3,SIRPA,SMO,SORCS3,SORL1,SORT1,STRA6,STX1A,TFR2,TGFBR2,THY1,TLR5,TLR6,TNFRSF10A,TNFRSF10B,TNFRSF1A,TNFRSF21,TRAF2,TSPAN1,UNC5C,VASN,VIPR1",2311,2353,2680.16937487061,4664,4
"sig_MUC1_2_y","MUC1","ABCA1,AR,ASGR1,C5AR2,CD38,CNTNAP2,EPCAM,EPHA4,EPHA7,F2RL2,FZD8,ITGA2,ITGB8,LPAR1,LSR,MST1R,NPR3,NRCAM,NTRK3,PLXDC2,PTPRB,PTPRG,RHBDL2,THBD",117,182,485.405023541378,299,4
"sig_MUC1_3_y","MUC1","ABCA1,ADAM22,ADCY1,ADGRE5,ADORA2B,ADRB2,AGTR1,ALCAM,APLP2,APP,ATP1A3,ATP6AP2,AXL,BAMBI,BCAM,BDKRB1,BMPR1B,CANX,CD200,CD320,CD38,CD55,CD63,CD74,CD81,CD82,CD9,CDON,CHRM3,CLEC2D,CNTNAP1,COL13A1,CSPG4,CXADR,DDR1,DDR2,DPP4,DSC3,DSG2,EDNRB,ENG,ENO1,EPHA3,EPHA4,EPHA5,EPHB4,ERAP1,FAP,FGFR2,FZD1,FZD4,FZD6,FZD7,FZD9,GAS1,GLP2R,GPC1,GPR37,GPR75,HHIP,HRH1,HTR1D,ICAM1,IFNGR1,IL10RB,IL17RC,IL1R1,IL27RA,IL31RA,IL4R,IL6ST,IL7R,ITGA10,ITGA11,ITGA3,ITGA5,ITGA6,ITGAV,ITGB1,ITGB4,JAM2,KREMEN1,L1CAM,LAMA4,LEPR,LGR4,LIFR,LPAR1,LPAR3,LRP1,LRP11,LRP8,LTBR,MC1R,MCAM,MET,MGRN1,MST1R,MYLK,NCSTN,NECTIN1,NECTIN3,NOTCH1,NOTCH2,NOTCH3,NPR2,NPR3,NTNG1,NTRK3,NTSR1,OSMR,PHEX,PLA2R1,PLAUR,PLD2,PLSCR4,PLXDC1,PLXDC2,PLXNA1,PLXNA2,PLXNA3,PLXNB2,PROCR,PRTG,PTK7,PTPRC,PTPRD,PTPRG,PTPRJ,PTPRS,PTPRZ1,PVR,ROBO1,ROBO4,ROR1,RTN4R,RTN4RL1,RYK,SCARB1,SDC1,SDC2,SDC3,SIRPA,SMO,SORCS3,SORL1,SORT1,STRA6,STX1A,TFR2,TGFBR2,THY1,TLR6,TNFRSF10A,TNFRSF10B,TNFRSF1A,TNFRSF21,TRAF2,TSPAN1,UNC5C,VIPR1,VSIR",2142,2190,2552.38065333338,4332,4
"sig_MUC1_4_y","MUC1","ABCA1,ACVR1,ACVR2B,ADAM22,ADCY1,ADGRG1,ADIPOR1,ADIPOR2,ADORA1,ADORA2B,ADRB2,AGR2,ALCAM,APP,ATP6AP2,BCAM,BMPR1A,BMPR1B,C5AR1,C5AR2,CD274,CD44,CD46,CD55,CDH7,CDON,CEACAM1,CHRM3,CKAP4,CLEC2B,CLEC2D,CNR1,CNTN1,CNTNAP2,COL13A1,CRLF3,CSPG4,CXCR1,DAG1,DCBLD2,DDR1,DDR2,DSC3,DSG2,DSG3,EDNRA,EGFR,EPCAM,EPHA2,EPHB2,EPHB3,EPHB4,EPHB6,ERAP1,ERBB2,F11R,F2R,F2RL1,F3,FAP,FAS,FGFR1,FLOT1,FPR1,FZD2,FZD6,FZD7,GAS1,GLP2R,GP1BA,GPC1,GPR37,GPR39,GPR75,HMMR,HRH1,HTR7,ICAM1,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF1R,IL11RA,IL13RA1,IL17RC,IL17RE,IL1R1,IL1R2,IL1RAP,IL1RL1,IL20RA,IL20RB,IL22RA2,IL31RA,IL4R,IL6ST,IL7R,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGAV,ITGB1,ITGB2,ITGB4,ITGB8,JMJD6,KCNJ15,KREMEN1,KREMEN2,LAMA4,LAMP1,LDLR,LEPR,LGR4,LIFR,LPAR3,LRFN3,LRP1,LRP11,LRP5,LRP8,LSR,MCAM,MET,MMP24,NCSTN,NECTIN2,NECTIN3,NOTCH2,NOTCH3,NRCAM,NRP2,NT5E,NTSR1,OLR1,OSMR,OXTR,PECAM1,PITPNM3,PLAUR,PLGRKT,PLXDC2,PLXNA1,PLXNA2,PLXNA3,PLXNB1,PLXNB2,PLXNC1,PRLR,PROCR,PRTG,PTK7,PTPRB,PTPRF,PTPRG,PTPRJ,PTPRK,PTPRM,PVR,QRFPR,RNF43,ROBO1,ROBO3,ROR1,ROR2,RPSA,RTN4RL1,RYK,S1PR2,SCN8A,SDC1,SDC3,SDC4,SIRPA,SIRPG,SLC16A7,SMO,SORT1,ST14,TFRC,TGFBR1,TGFBR2,TLR4,TLR5,TNFRSF10A,TNFRSF12A,TNFRSF13B,TNFRSF18,TNFRSF1A,TNFRSF21,TNFRSF25,TRAF2,TSPAN1,TYRO3,UNC5B,UNC5C,VIPR1,ZNRF3",3682,3828,5611.51699507464,7510,4
"sig_NAMPT_1_y","NAMPT","ABCA1,ACKR3,ACKR4,ACVR1,ACVR2B,ADAM22,ADAM23,ADCYAP1R1,ADIPOR1,ADORA2B,ADRA2A,ADRB2,AGTR1,AGTR2,ALOX5,APCDD1,APLNR,AR,ART1,AVPR1A,BDKRB1,BDKRB2,BMPR1A,BMPR1B,BMPR2,BOC,C3AR1,CADM1,CADM3,CCR1,CCR10,CCR2,CCR3,CCR5,CCR7,CD163,CD200,CD200R1,CD248,CD36,CD46,CD47,CD53,CD74,CD79A,CD84,CD93,CDON,CEACAM1,CHL1,CMKLR1,CNTFR,CR1,CRLF1,CSF1R,CSF2RB,CSF3R,CX3CR1,CXADR,CXCR1,CXCR2,CXCR3,CXCR4,DCBLD2,DCHS1,DDR2,DSC1,DSG1,DSG3,DYSF,EDA2R,EDNRB,EFNB1,EGFR,ENG,ENO1,EPHA3,EPHA4,EPHB3,ERBB3,F2R,F2RL1,FAP,FGFR1,FLOT1,FLT1,FLT4,FPR2,FZD1,FZD10,FZD3,FZD6,FZD8,GAS1,GFRA1,GHR,GP6,GPC1,GPR182,GPR19,GPR35,GRPR,HMMR,HRH2,HTR1D,HTR2A,HTR2B,ICAM1,ICAM3,IL11RA,IL12RB2,IL17RB,IL18R1,IL18RAP,IL1RAP,IL22RA1,IL27RA,IL2RG,IL7R,ITGA1,ITGA11,ITGA4,ITGA8,ITGA9,ITGAD,ITGAE,ITGAL,ITGAM,ITGB2,ITGB3,ITGB5,ITGB7,KCNJ15,KDR,KIT,KLRC2,KLRK1,KREMEN2,L1CAM,LAIR1,LAMA4,LAMP1,LGR5,LGR6,LPAR1,LPAR4,LRP1,LRP8,LRRC4,LY9,MAG,MC1R,MCAM,MERTK,MET,MGRN1,MTNR1A,MUSK,MYLK2,NCAM1,NOTCH1,NOTCH4,NPR1,NPR2,NPR3,NRCAM,NRP1,NRP2,NTNG2,NTRK2,P2RY12,P2RY14,PDE1A,PDE1B,PDE1C,PDGFRA,PDGFRB,PLSCR1,PLSCR4,PLXDC2,PLXNA2,PLXNA4,PLXNC1,PROKR1,PROKR2,PTCH2,PTH1R,PTK7,PTPRC,PTPRD,PTPRM,RAMP1,RAMP2,RHBDL2,RNF43,ROBO1,ROBO2,ROBO4,ROR1,ROR2,RPSA,RTN4RL2,SCN5A,SCTR,SDC2,SELPLG,SIGLEC1,SLC16A1,SLC16A7,SLC40A1,SSTR5,STRA6,STX1A,TACR1,TEK,TFR2,TFRC,TGFBR2,TGFBR3,THBD,THY1,TIE1,TLR2,TLR4,TLR5,TMEM67,TNFRSF11B,TNFRSF13C,TNFRSF18,TNFRSF19,TNFRSF1B,TNFRSF21,TREM2,TSHR,TYROBP,VASN,VCAM1,VIPR2,VLDLR,VTCN1",4362,4628,16292.3181325778,8990,6
"sig_NAMPT_2_y","NAMPT","ABCA1,ACKR3,ACVR1,ADAM23,ADORA1,ADORA2B,CADM1,CADM3,CD163,CD200,CD200R1,CD44,CD46,CD47,CD5,CD55,CD6,CEACAM1,CHL1,CRHR1,CRHR2,CSF1R,CXCR2,DCHS1,DDR2,DPP4,EDNRB,EFNB1,EGFR,ERAP1,F2R,F2RL1,FZD6,GAS1,GFRA1,GP6,GPC1,GPR19,GPR35,GPR75,GRPR,HHIP,HLA-F,HMMR,HRH1,HRH2,IGF2R,IL12RB2,IL18R1,IL22RA1,ITGA3,ITGAM,ITGB6,L1CAM,LAIR1,LDLR,LGR4,LRP1,LRP8,LRRC4,MC1R,MCAM,MERTK,MYLK2,NOTCH1,NPR2,NPY4R,NRP2,NTRK2,PDGFRA,PILRA,PITPNM3,PLAUR,PLSCR1,PLSCR4,PLXDC2,PLXNA2,PTCH2,PTPRG,PTPRJ,PTPRM,RAMP1,SELPLG,SIGLEC1,SLC16A7,SSTR5,STX1A,TEK,TGFBR1,TIE1,TLR4,TLR6,TNFRSF10D,TNFRSF13C,TNFRSF18,TNFRSF21,TNFRSF25,VCAM1,VLDLR",1527,1912,2862.51696888248,3439,6
"sig_NAMPT_3_y","NAMPT","ABCA1,ACVR1B,ADRA2B,ALCAM,ALOX5,AXL,CCR7,CD180,CD274,CD300LB,CD4,CD40,CD44,CD48,CD80,CD82,CD84,CD9,CLEC2B,CRLF3,EPHB2,EPHB6,FGFR1,FLT1,FPR1,FPR2,GPC1,HTR7,ICAM1,ICOSLG,IL10RA,IL15RA,IL17RA,IL17RC,IL1R2,IL1RAP,IL2RA,IL4R,IL6R,IL7R,ITGA1,ITGA11,ITGA3,ITGA4,ITGA6,ITGA7,ITGAV,ITGB3,ITGB5,ITGB7,ITGB8,KLRG1,LGR4,LILRA3,LILRB1,LILRB2,LPAR2,LRP6,LY9,MERTK,MET,NRP2,OLR1,PDGFRA,PECAM1,PLAUR,PLXDC2,PLXNA1,PTPRF,PTPRJ,PTPRK,PVR,ROBO1,RTN4R,SCARF1,SDC2,SDC3,SDC4,SLAMF1,SLAMF6,SLAMF7,SLC40A1,SORT1,SPN,SSTR2,TGFBR1,TGFBR2,TLR2,TLR5,TNFRSF10D,TNFRSF18,TNFRSF1B,TNFRSF21,TNFRSF9,TREM2",776,691,1195.54445987899,1467,6
"sig_NDP_1_y","NDP","ABCA1,ACVR2A,ACVR2B,ACVRL1,ADAM11,ADAM23,ADGRE5,ADGRG1,ADIPOR1,ADIPOR2,ADORA1,ADORA2B,AGR2,ALCAM,AMFR,APLP2,APP,ATP6AP2,BAMBI,BMPR2,C5AR1,CADM1,CANX,CD180,CD248,CD320,CD44,CD46,CD81,CD82,CD9,CHRM3,CKAP4,CLEC2B,CNTNAP1,COL13A1,CRLF3,DAG1,DCBLD2,DCHS1,DDR1,DDR2,DSC3,DSG2,EDA2R,EDNRA,EFNB1,EGFR,ENO1,EPCAM,EPHA1,EPHA2,EPHA4,EPHA7,EPHB1,EPHB2,EPHB4,EPHB6,EPOR,ERAP1,ERBB2,F11R,F2R,F2RL1,F2RL2,F3,FAS,FGFR1,FGFR2,FGFR3,FGFRL1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD7,GAS1,GPC1,GPR19,GPR39,GPR75,GRPR,HMMR,HRH1,HTR2A,HTR7,ICAM1,IFNAR1,IFNAR2,IFNGR2,IGF1R,IL10RB,IL13RA1,IL13RA2,IL17RA,IL17RB,IL17RC,IL1RAP,IL1RAPL1,IL1RL1,IL27RA,IL6R,IL6ST,IL7R,ITGA10,ITGA2,ITGA6,ITGAM,ITGAV,ITGB3,ITGB5,ITGB7,ITGB8,JAM3,KCNJ15,KLRG1,KREMEN1,KREMEN2,LAG3,LAMA4,LAMP1,LAMP2,LDLR,LEPR,LGR4,LIFR,LMBR1L,LPAR2,LRP11,LRP4,LRP5,LRRC4,MET,MGRN1,MMP24,MYLK,MYLK2,NCAM1,NCSTN,NECTIN2,NECTIN3,NECTIN4,NEO1,NOTCH1,NOTCH2,NOTCH3,NRP1,NRXN1,NT5E,NTNG1,NTNG2,NTRK2,NTSR1,OSMR,OXTR,PDGFRA,PDGFRB,PLA2R1,PLSCR1,PLXNA1,PLXNA2,PLXNA4,PLXNB1,PLXNB2,PLXNB3,PLXND1,PROCR,PTCH1,PTK7,PTPRG,PTPRJ,PTPRK,PTPRM,PVR,RGMB,RHBDL2,ROBO1,ROR1,RTN4RL2,RYK,S1PR2,SCARB1,SDC1,SDC2,SDC4,SIRPA,SLC16A1,SMO,SORCS3,SORL1,SORT1,SSTR5,STRA6,STX1A,TFRC,TGFBR1,TGFBR2,TGFBR3,THY1,TLR6,TMEM67,TNFRSF10A,TNFRSF10B,TNFRSF10C,TNFRSF10D,TNFRSF11A,TNFRSF12A,TNFRSF14,TNFRSF19,TNFRSF1B,TNFRSF25,TRAF2,TSPAN1,UNC5D,VCAM1,VLDLR",4128,3988,4066.47619528355,8116,4
"sig_NDP_2_y","NDP","ABCA1,ACVR1,ACVR2A,ACVR2B,ACVRL1,ADAM11,ADAM23,ADCY1,ADGRE5,ADGRG1,ADGRL1,ADIPOR1,ADIPOR2,ADORA1,ALCAM,AMFR,APP,AR,ASGR1,ATP5F1B,ATRN,AXL,BAMBI,BCAM,BDKRB1,BDKRB2,BEX3,BMPR2,BOC,C3AR1,CADM1,CALCRL,CAV1,CCR10,CD180,CD248,CD274,CD320,CD44,CD46,CD55,CD63,CD7,CD81,CD82,CD9,CD96,CDON,CHRM3,CKAP4,CLEC2B,CLEC2D,CNTN1,CNTNAP1,CRLF3,CRTAM,CSPG4,CXADR,CXCR4,DAG1,DCC,DCHS1,DDR1,DDR2,DIP2A,DSG2,EDA2R,EDNRA,EFNB1,EGFR,ENG,ENO1,EPHA1,EPHA2,EPHA7,EPHB1,EPHB3,EPHB4,EPHB6,ERBB2,F2R,F2RL1,FAP,FAS,FGFR1,FGFR2,FGFR3,FGFR4,FGFRL1,FLOT1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD7,FZD8,FZD9,GAS1,GLG1,GPC1,GPR19,GPR39,HLA-F,HMMR,HRH1,HTR2A,HTR7,ICAM1,ICAM3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF2R,IL10RB,IL13RA2,IL15RA,IL17RA,IL17RB,IL18R1,IL1RAPL1,IL1RL1,IL4R,IL6R,IL6ST,IL7R,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGAE,ITGAM,ITGAV,ITGB3,ITGB4,ITGB5,ITGB7,ITGB8,JAM2,JAM3,JMJD6,KCNJ15,KDR,KLRG1,KREMEN1,KREMEN2,LAMA4,LAMP1,LAMP2,LDLR,LGR4,LIFR,LMBR1L,LPAR1,LPAR2,LRP1,LRP11,LRP4,LRP5,LRP6,LRP8,LRRC4,LTK,MC1R,MCAM,MCHR1,MERTK,MET,NCAM1,NCSTN,NECTIN1,NECTIN2,NOTCH1,NOTCH2,NOTCH3,NPR2,NPR3,NRCAM,NRP1,NRP2,NRXN1,NRXN3,NT5E,OPRL1,OSMR,OXTR,PDGFRA,PDGFRB,PECAM1,PHEX,PILRB,PLA2R1,PLAUR,PLD2,PLSCR4,PLXNA1,PLXNA2,PLXNA4,PLXNB2,PLXNB3,PLXND1,PROCR,PRTG,PTCH1,PTCH2,PTK7,PTPRF,PTPRG,PTPRK,PTPRM,PTPRS,PTPRZ1,PVR,RAMP1,RAMP2,RGMB,ROBO1,ROR1,RTN4R,S1PR2,SCARB1,SCARF1,SCN8A,SDC1,SDC2,SDC4,SIRPA,SLC16A1,SLC40A1,SMO,SORCS3,SORL1,SORT1,SSTR2,SSTR5,ST14,STRA6,STX1A,TGFBR1,TGFBR2,TGFBR3,THBD,THY1,TLR6,TMEM67,TNFRSF10A,TNFRSF10D,TNFRSF11A,TNFRSF12A,TNFRSF14,TNFRSF19,TNFRSF1A,TNFRSF25,TNFRSF9,TRAF2,TSPAN1,TYRO3,UNC5B,UNC5D,VASN,VCAM1,VIPR1,VLDLR,ZNRF3",4508,4187,4722.76784319922,8695,4
"sig_NDP_3_y","NDP","ABCA1,ACKR1,ACKR3,ACVR2B,ADCYAP1R1,ADGRG1,ADGRL1,ADORA2B,ADRA2A,ALCAM,AMFR,APCDD1,APLP2,APP,AR,ATP1A3,ATP6AP2,AXL,BCAM,BOC,C5AR1,CADM1,CANX,CAV1,CCR1,CD151,CD200,CD274,CD320,CD44,CD46,CD63,CD72,CD82,CD9,CDH7,CDON,CHRM3,CNR1,CNTFR,CNTN1,CNTNAP1,CRLF3,CSPG4,CXADR,CXCR4,DAG1,DCBLD2,DCC,DDR1,EDA2R,ENO1,EPHA2,EPHA5,EPHB2,EPHB4,ERAP1,ERBB3,ERBB4,F2R,FAS,FGFR1,FGFR2,FGFR3,FGFRL1,FZD2,FZD5,FZD6,FZD8,GALR1,GFRA1,GPC4,GPR37L1,GRPR,HHIP,HMMR,HRH1,HRH2,ICAM1,IFNAR1,IFNAR2,IFNGR1,IGF2R,IL11RA,IL13RA1,IL13RA2,IL17RB,IL1RAP,IL6R,IL6ST,ITGA10,ITGA11,ITGA5,ITGA6,ITGA7,ITGA9,ITGAV,ITGB1,ITGB4,ITGB5,ITGB8,KCNJ10,KISS1R,KLRC2,KLRG1,LAMA4,LAMP1,LAMP2,LDLR,LGR4,LIFR,LINGO1,LPAR1,LPAR2,LPAR4,LRP1,LRP11,LRP2,LRP4,LRP8,LRRC4,MADCAM1,MC1R,MCHR1,MERTK,MGRN1,MYLK,NCAM1,NCSTN,NECTIN1,NECTIN2,NOTCH1,NOTCH2,NOTCH3,NPR1,NRCAM,NRP1,NRP2,NRXN3,NTNG2,NTRK3,NTSR1,OPRD1,OPRL1,OSMR,OXTR,PDGFRA,PLAUR,PLD2,PLSCR1,PLXNA2,PLXNA3,PLXNB1,PLXNB2,PLXNB3,PLXND1,PTCH2,PTPRD,PTPRJ,PTPRK,PTPRS,PTPRZ1,PVR,RAMP1,RAMP2,RGMB,ROBO1,ROBO3,ROR1,RTN4RL1,S1PR2,SCN8A,SDC2,SDC3,SLC16A1,SLC40A1,SORL1,SORT1,STX1A,TACR1,TFR2,TGFBR2,TGFBR3,THY1,TMEM67,TNFRSF10B,TNFRSF11A,TNFRSF12A,TNFRSF19,TNFRSF1A,TNFRSF1B,TNFRSF21,TRAF2,UNC5D,VIPR1,VLDLR,ZNRF3",3428,2910,2694.37456832324,6338,4
"sig_NDP_4_y","NDP","ABCA1,ACKR3,ACVR1,ACVR1B,ACVR2B,ADAM11,ADAM22,ADAM23,ADCY1,ADCYAP1R1,ADGRG1,ADGRL1,ADIPOR1,ADIPOR2,ADORA2B,ADRA2A,ALCAM,AMFR,APLP2,APP,AR,ATP1A3,ATP5F1B,ATP6AP2,ATRN,AXL,BAMBI,BEX3,BMPR1B,BMPR2,C5AR1,CADM3,CALCRL,CAV1,CCR1,CD151,CD200,CD320,CD38,CD44,CD46,CD55,CD82,CD8A,CD9,CDON,CHRM3,CKAP4,CNR1,CNTFR,CNTN1,CRTAM,CSPG4,CXCR4,DAG1,DCC,DCHS1,DDR1,EDNRB,EGFR,ENO1,EPHA1,EPHA2,EPHA3,EPHA5,EPHB1,EPHB2,EPHB4,ERAP1,ERBB3,ERBB4,F2R,F3,FGFR2,FGFR4,FGFRL1,FZD1,FZD2,FZD3,FZD4,FZD5,FZD6,FZD8,GALR1,GAS1,GIPR,GPC1,GPC4,GPR19,GPR35,GPR37L1,GPR75,GRM5,GRPR,HAVCR2,HHIP,HMMR,HRH1,HRH2,ICAM1,ICAM3,IFNAR1,IFNAR2,IFNGR1,IFNGR2,IGF1R,IGF2R,IL10RB,IL11RA,IL13RA1,IL15RA,IL17RB,IL17RC,IL1R1,IL1RAP,IL1RAPL1,IL27RA,INSR,ITGA10,ITGA11,ITGA3,ITGA5,ITGA6,ITGA9,ITGAM,ITGAV,ITGB1,ITGB2,ITGB4,ITGB5,JAM2,JAM3,KCNJ10,KISS1R,KLRC2,KLRG1,KREMEN1,KREMEN2,L1CAM,LAMA4,LAMP1,LAMP2,LDLR,LIFR,LINGO1,LMBR1L,LPAR1,LPAR2,LPAR4,LRFN3,LRP1,LRP11,LRP4,LRP6,LRP8,LRRC4C,MADCAM1,MC5R,MCAM,MCHR1,MMP24,NCSTN,NECTIN3,NECTIN4,NEO1,NGFR,NOTCH1,NOTCH2,NOTCH3,NPR1,NPR3,NRP1,NRP2,NRXN2,NT5E,NTRK2,NTRK3,OGFR,OPRD1,OSMR,PDE1C,PDGFRA,PHEX,PLAUR,PLD2,PLGRKT,PLXDC1,PLXNA2,PLXNA3,PLXNA4,PLXNB2,PLXNB3,PLXND1,PTCH1,PTCH2,PTK7,PTPRD,PTPRF,PTPRJ,PTPRK,PTPRS,PTPRZ1,PVR,RAMP2,RET,ROBO3,ROR1,RTN4R,RTN4RL2,S1PR2,SCARB1,SCN5A,SCN8A,SDC1,SDC2,SDC4,SELPLG,SIRPA,SLC16A1,SLC16A7,SLC40A1,SMO,SORL1,SORT1,STX1A,TFR2,TFRC,TGFBR1,TGFBR3,THY1,TNFRSF10B,TNFRSF13C,TNFRSF19,TNFRSF1B,TNFRSF21,TNFRSF25,TRAF2,TYRO3,UNC5C,UNC5D,VASN",4697,4164,4644.11719772598,8861,4
